LATITUDE       	LONGITUDE
52.125         	27.625
54.375         	25.875
54.625         	26.125
53.375         	23.875
53.375         	25.375
53.875         	23.625
54.125         	25.625
53.625         	26.125
53.875         	24.875
53.375         	24.125
53.625         	25.875
53.125         	25.125
54.625         	26.625
53.125         	24.125
53.125         	24.875
54.375         	28.875
53.875         	29.125
53.875         	28.125
53.625         	27.375
53.125         	27.375
53.125         	26.625
54.625         	28.875
54.125         	27.875
52.875         	27.875
54.375         	26.625
54.125         	27.625
54.625         	27.125
53.125         	26.875
53.625         	27.875
52.875         	27.375
53.125         	28.375
53.625         	26.875
54.125         	26.875
54.625         	27.375
53.375         	28.875
53.125         	29.375
53.875         	29.875
53.625         	30.125
53.875         	30.875
53.625         	31.375
54.125         	31.125
53.125         	28.625
54.375         	30.875
53.375         	32.125
