LATITUDE       	LONGITUDE
45.025         	-117.725
44.775         	-120.392
40.358         	-74.975
40.858         	-77.808
40.775         	-75.142
41.358         	-74.725
44.608         	-97.892
45.525         	-98.225
44.608         	-103.308
44.608         	-97.558
45.275         	-96.475
44.858         	-98.725
44.442         	-100.308
44.525         	-97.725
43.192         	-96.558
45.858         	-96.725
45.192         	-98.475
44.442         	-100.475
43.025         	-100.225
43.192         	-100.225
31.942         	-95.808
31.442         	-94.725
29.608         	-96.058
29.275         	-95.725
29.858         	-94.475
31.858         	-95.392
27.775         	-98.475
31.942         	-106.642
29.525         	-96.058
31.608         	-95.808
29.025         	-99.142
32.358         	-94.642
30.358         	-96.142
30.108         	-95.642
35.608         	-102.642
32.525         	-97.725
31.525         	-95.475
30.692         	-94.142
27.275         	-98.558
28.608         	-99.392
29.942         	-94.558
30.358         	-95.808
35.775         	-101.808
31.692         	-94.725
35.608         	-102.558
32.858         	-97.892
32.108         	-94.642
32.608         	-98.808
30.858         	-94.475
30.275         	-96.142
30.775         	-97.642
41.525         	-113.225
37.775         	-109.475
38.192         	-79.892
39.192         	-77.975
39.025         	-77.308
39.275         	-78.392
38.525         	-79.558
38.275         	-77.058
39.275         	-77.642
38.775         	-78.975
38.858         	-78.808
38.108         	-76.725
47.025         	-118.558
46.275         	-119.392
46.275         	-118.808
47.275         	-119.475
45.775         	-120.308
46.025         	-118.642
46.525         	-117.225
46.442         	-120.642
39.108         	-79.975
39.525         	-77.892
38.692         	-80.642
40.192         	-80.558
38.442         	-82.142
38.775         	-81.142
38.358         	-81.058
39.275         	-80.892
38.025         	-81.142
38.942         	-80.892
39.192         	-79.475
37.942         	-80.392
39.275         	-78.642
40.608         	-80.558
39.108         	-78.975
39.192         	-80.475
38.858         	-81.892
39.358         	-77.892
38.358         	-81.892
39.108         	-80.475
38.108         	-81.975
39.442         	-80.225
39.858         	-80.642
38.942         	-81.975
37.358         	-81.142
39.608         	-78.808
39.608         	-79.975
37.608         	-80.558
39.608         	-78.225
38.358         	-80.725
40.108         	-80.558
38.525         	-79.392
39.442         	-81.058
38.108         	-80.225
39.275         	-79.558
38.608         	-81.892
37.775         	-81.142
38.858         	-79.892
39.192         	-81.058
38.858         	-81.392
37.525         	-80.808
39.275         	-79.975
39.025         	-79.475
39.442         	-80.892
38.942         	-80.308
38.358         	-82.558
38.358         	-80.558
39.692         	-80.642
38.942         	-81.392
39.275         	-81.558
44.858         	-91.808
44.608         	-91.225
42.775         	-91.058
44.192         	-108.392
43.275         	-107.808
42.108         	-104.308
43.775         	-107.975
41.025         	-104.142
44.608         	-108.725
42.025         	-105.058
43.442         	-110.058
44.525         	-110.308
44.108         	-108.142
32.025         	-109.725
33.775         	-111.308
32.442         	-109.975
33.358         	-112.642
31.358         	-110.475
32.608         	-114.642
38.942         	-121.892
36.692         	-120.642
39.525         	-122.225
32.775         	-115.725
35.108         	-119.142
36.275         	-119.558
37.108         	-120.308
37.358         	-120.225
37.025         	-120.642
36.525         	-121.475
38.358         	-122.142
38.192         	-121.558
36.608         	-120.808
32.608         	-116.308
37.858         	-121.392
34.942         	-120.392
37.192         	-122.392
34.858         	-120.392
38.442         	-121.808
37.358         	-121.058
39.025         	-121.808
40.025         	-122.225
36.025         	-119.392
34.275         	-119.142
38.858         	-121.892
39.858         	-104.142
40.108         	-105.225
38.775         	-102.225
38.692         	-108.058
39.775         	-104.808
37.692         	-108.308
38.275         	-104.975
39.025         	-102.642
37.192         	-108.308
40.525         	-104.975
37.775         	-104.308
38.608         	-103.475
40.775         	-103.558
39.192         	-108.808
38.608         	-108.058
40.025         	-104.058
38.108         	-103.475
40.692         	-102.642
38.192         	-104.475
40.775         	-102.558
40.358         	-103.225
40.025         	-104.642
40.358         	-102.225
41.608         	-71.808
41.858         	-71.892
43.692         	-116.475
44.692         	-116.642
43.692         	-116.808
42.442         	-114.058
46.358         	-115.975
42.775         	-115.058
43.858         	-116.558
42.942         	-114.725
42.525         	-114.142
46.942         	-116.725
42.775         	-113.808
42.692         	-113.725
46.358         	-116.975
43.608         	-116.975
44.108         	-116.892
42.442         	-114.142
44.192         	-116.975
41.358         	-91.058
40.608         	-85.058
41.025         	-84.892
39.275         	-85.892
40.692         	-87.225
40.525         	-85.392
39.108         	-86.142
40.608         	-86.392
40.608         	-86.308
38.358         	-85.725
39.442         	-86.975
40.192         	-86.642
38.192         	-86.558
38.775         	-87.225
41.442         	-84.975
38.942         	-85.142
39.358         	-85.642
40.275         	-85.558
38.442         	-86.975
41.692         	-85.892
39.692         	-85.308
40.275         	-87.142
41.025         	-86.308
38.192         	-87.808
40.525         	-85.475
40.108         	-86.225
39.692         	-85.808
38.025         	-85.975
39.608         	-86.642
39.942         	-85.558
40.942         	-85.642
38.942         	-85.975
41.025         	-86.975
40.358         	-85.225
38.692         	-85.225
39.108         	-85.808
39.358         	-85.975
38.608         	-87.392
41.358         	-85.975
41.692         	-85.475
41.275         	-87.308
41.358         	-86.892
38.858         	-86.558
41.358         	-86.475
38.692         	-86.808
39.025         	-86.642
40.192         	-87.058
39.608         	-86.308
41.192         	-87.308
38.942         	-85.058
38.608         	-86.475
39.442         	-86.808
39.608         	-87.308
38.025         	-86.642
41.275         	-86.975
37.858         	-88.058
41.025         	-86.558
39.525         	-86.725
40.275         	-85.225
39.025         	-85.308
39.608         	-85.642
41.608         	-86.475
38.692         	-85.892
39.358         	-85.808
37.858         	-87.225
41.358         	-86.725
41.692         	-84.975
38.942         	-87.392
40.525         	-87.058
40.358         	-85.892
39.692         	-84.892
40.108         	-87.475
39.275         	-87.475
41.025         	-85.892
38.692         	-86.308
39.858         	-85.225
40.608         	-85.308
40.858         	-86.975
41.275         	-85.642
41.442         	-94.392
